window_size,embed_size,k,metric,MAE
120,10,5,euclidean,0.6728406558591564
120,10,5,dtw,0.6626160194247269
120,10,5,msed,0.6750590749324501
120,10,5,cid,0.7339953910806942
120,10,10,euclidean,0.651501593273717
120,10,10,dtw,0.6367316456555114
120,10,10,msed,0.6515790697268931
120,10,10,cid,0.7117739647342226
120,10,20,euclidean,0.6569701414224147
120,10,20,dtw,0.636365997108166
120,10,20,msed,0.6525674822300426
120,10,20,cid,0.7106137183140395
120,10,35,euclidean,0.6751781191759757
120,10,35,dtw,0.6543916167585959
120,10,35,msed,0.6646075686716562
120,10,35,cid,0.7274981425176918
120,15,5,euclidean,0.7556367788986194
120,15,5,dtw,0.7360188187627069
120,15,5,msed,0.7584672986021471
120,15,5,cid,0.8416155578506567
120,15,10,euclidean,0.7243201900338595
120,15,10,dtw,0.7016767656245579
120,15,10,msed,0.7261445607866778
120,15,10,cid,0.8024812661785853
120,15,20,euclidean,0.7173747593781103
120,15,20,dtw,0.6928345946022603
120,15,20,msed,0.7159359850078434
120,15,20,cid,0.7862850473287923
120,15,35,euclidean,0.727222426278354
120,15,35,dtw,0.7036974066304703
120,15,35,msed,0.7215143541907657
120,15,35,cid,0.7874462836702225
120,25,5,euclidean,0.8523720414327048
120,25,5,dtw,0.8025761335767639
120,25,5,msed,0.8543724486690343
120,25,5,cid,0.9171678949531126
120,25,10,euclidean,0.8118132839445922
120,25,10,dtw,0.7556949701656992
120,25,10,msed,0.8134358482488847
120,25,10,cid,0.8703776518646459
120,25,20,euclidean,0.7903884700988917
120,25,20,dtw,0.746285577595813
120,25,20,msed,0.7905617022146914
120,25,20,cid,0.8447020456435205
120,25,35,euclidean,0.7951586389721292
120,25,35,dtw,0.7596363665894941
120,25,35,msed,0.7917384870414909
120,25,35,cid,0.8458568897589047
240,10,5,euclidean,0.6042935810075873
240,10,5,dtw,0.5982061340453425
240,10,5,msed,0.6086902364244376
240,10,5,cid,0.6616285147485476
240,10,10,euclidean,0.5882276453132835
240,10,10,dtw,0.5762338237298835
240,10,10,msed,0.5899597019345844
240,10,10,cid,0.6401467307276927
240,10,20,euclidean,0.5947090370730617
240,10,20,dtw,0.5743262582063338
240,10,20,msed,0.5921204495817419
240,10,20,cid,0.640689044673215
240,10,35,euclidean,0.6107371442338714
240,10,35,dtw,0.5856185777376839
240,10,35,msed,0.604072860467011
240,10,35,cid,0.6533837054570983
240,15,5,euclidean,0.665320269200006
240,15,5,dtw,0.6453802408249697
240,15,5,msed,0.6681961626001166
240,15,5,cid,0.7410405152393325
240,15,10,euclidean,0.6433316209007088
240,15,10,dtw,0.6191077340670494
240,15,10,msed,0.6444005322406225
240,15,10,cid,0.7037431671719073
240,15,20,euclidean,0.6444935695526319
240,15,20,dtw,0.6116167916544574
240,15,20,msed,0.6422970670131443
240,15,20,cid,0.6962524167882785
240,15,35,euclidean,0.6590210676055486
240,15,35,dtw,0.6241084483101967
240,15,35,msed,0.6538314580874164
240,15,35,cid,0.7066417692649221
240,25,5,euclidean,0.7459807222044591
240,25,5,dtw,0.6989301901387139
240,25,5,msed,0.7478517484763949
240,25,5,cid,0.817276198620629
240,25,10,euclidean,0.7190392013567549
240,25,10,dtw,0.6681745703383525
240,25,10,msed,0.7199202451230128
240,25,10,cid,0.7737507508310102
240,25,20,euclidean,0.7082731231961985
240,25,20,dtw,0.6637669623860114
240,25,20,msed,0.7075207149769235
240,25,20,cid,0.7514316367445938
240,25,35,euclidean,0.7153177725214155
240,25,35,dtw,0.6710150668588103
240,25,35,msed,0.7119470534071686
240,25,35,cid,0.7551133989499371
480,10,5,euclidean,0.5667825753240472
480,10,5,dtw,0.5546900345962307
480,10,5,msed,0.5691865208938227
480,10,5,cid,0.6095704707924234
480,10,10,euclidean,0.5520635999948433
480,10,10,dtw,0.5353087858358934
480,10,10,msed,0.5524171960872247
480,10,10,cid,0.5883339503223712
480,10,20,euclidean,0.5513447157812066
480,10,20,dtw,0.5323085939145858
480,10,20,msed,0.549319169833261
480,10,20,cid,0.5838545180439187
480,10,35,euclidean,0.5634705234526491
480,10,35,dtw,0.5414938146821148
480,10,35,msed,0.559135284326854
480,10,35,cid,0.5922640927763481
480,15,5,euclidean,0.6189327357364487
480,15,5,dtw,0.5993674767306629
480,15,5,msed,0.6216395877419294
480,15,5,cid,0.6667981248673064
480,15,10,euclidean,0.5985049992720566
480,15,10,dtw,0.5716097134422732
480,15,10,msed,0.5999350686604872
480,15,10,cid,0.6336706162750778
480,15,20,euclidean,0.5967504358543865
480,15,20,dtw,0.5641521730076346
480,15,20,msed,0.595406389928369
480,15,20,cid,0.6288148377031821
480,15,35,euclidean,0.6051437636925894
480,15,35,dtw,0.5690672787401648
480,15,35,msed,0.6020543745510052
480,15,35,cid,0.6355864496994045
480,25,5,euclidean,0.6889020079495446
480,25,5,dtw,0.6398841641688345
480,25,5,msed,0.6902387753118447
480,25,5,cid,0.7354838912278465
480,25,10,euclidean,0.6650382154915871
480,25,10,dtw,0.6125386695814429
480,25,10,msed,0.6653295198463838
480,25,10,cid,0.6966573881794061
480,25,20,euclidean,0.656400263230821
480,25,20,dtw,0.6034024078364825
480,25,20,msed,0.6554827931089341
480,25,20,cid,0.6850758578138478
480,25,35,euclidean,0.6615161007056378
480,25,35,dtw,0.6084548505659221
480,25,35,msed,0.6590578676664834
480,25,35,cid,0.6906383486346234
