Time,Open,High,Low,Close
2024.01.01.17:15,6.74686,6.74686,6.74686,6.74686
2024.01.01.17:20,6.74681,6.7479,6.74681,6.7474
2024.01.01.17:25,6.74735,6.74791,6.74735,6.74783
2024.01.01.17:30,6.74753,6.74792,6.74751,6.74757
2024.01.01.17:35,6.74757,6.74868,6.74743,6.74868
2024.01.01.17:40,6.74868,6.74904,6.74838,6.74853
2024.01.01.17:45,6.74836,6.7485,6.74775,6.74839
2024.01.01.17:50,6.74838,6.74843,6.74767,6.74794
2024.01.01.17:55,6.74777,6.74829,6.74752,6.74774
2024.01.01.18:00,6.74772,6.75128,6.74767,6.75113
2024.01.01.18:05,6.75113,6.75151,6.75091,6.75146
2024.01.01.18:10,6.75144,6.75266,6.75144,6.75264
2024.01.01.18:15,6.75266,6.75333,6.75264,6.75327
2024.01.01.18:20,6.75329,6.7534,6.7529,6.75316
2024.01.01.18:25,6.7532,6.75338,6.7528,6.75307
2024.01.01.18:30,6.75306,6.75393,6.75302,6.75381
2024.01.01.18:35,6.75376,6.75379,6.75295,6.75295
2024.01.01.18:40,6.75297,6.75403,6.75297,6.7539
2024.01.01.18:45,6.75391,6.75482,6.75356,6.75447
2024.01.01.18:50,6.75446,6.75457,6.75366,6.75422
2024.01.01.18:55,6.75424,6.75462,6.7539,6.75413
2024.01.01.19:00,6.75422,6.75434,6.75367,6.75372
2024.01.01.19:05,6.7536,6.75395,6.75343,6.75357
2024.01.01.19:10,6.75346,6.75419,6.75344,6.75388
2024.01.01.19:15,6.75384,6.7542,6.75375,6.75405
2024.01.01.19:20,6.75401,6.7555,6.75401,6.75536
2024.01.01.19:25,6.75534,6.75553,6.755,6.75521
2024.01.01.19:30,6.75531,6.75548,6.75465,6.75465
2024.01.01.19:35,6.75473,6.75496,6.75423,6.75432
2024.01.01.19:40,6.75433,6.75437,6.7541,6.75411
2024.01.01.19:45,6.7541,6.75422,6.7529,6.75294
2024.01.01.19:50,6.75306,6.75327,6.75272,6.75274
2024.01.01.19:55,6.75273,6.75346,6.75258,6.7526
2024.01.01.20:00,6.75263,6.75304,6.75172,6.752
2024.01.01.20:05,6.752,6.75215,6.74993,6.75172
2024.01.01.20:10,6.75177,6.75279,6.75134,6.75257
2024.01.01.20:15,6.75257,6.75265,6.74992,6.75033
2024.01.01.20:20,6.75021,6.75171,6.75007,6.7506
2024.01.01.20:25,6.75061,6.75241,6.75061,6.75229
2024.01.01.20:30,6.75231,6.75355,6.752,6.753
2024.01.01.20:35,6.75301,6.75389,6.75284,6.75357
2024.01.01.20:40,6.75363,6.75374,6.75295,6.75303
